IsCon,VoiceTraffic,HRVT,PDCH,Traffic,DLTraffic,HRR,SDCon,Access Performance
0,29.57,1.96,15.01,62.64832031,46.42981445,0.066283395,0,0.999758
0,29.56,28.74,7.62,32.77795898,23.30664063,0.972259811,0,0.999754
0,29.48,0.11,5.79,15.00049805,10.38049805,0.003731343,0,0.997761
0,29.48,0.11,5.79,15.00049805,10.38049805,0.003731343,0,0.997761
0,29.47,26.11,4.56,38.71290039,28.66077148,0.885985748,0,0.999501
0,29.43,8.79,13.34,63.57374023,45.9965918,0.298674822,0,0.999804
0,29.3,0,29.39,266.4205371,201.1134082,0,0,0.999193
0,29.2,29.2,22.99,222.4091895,130.1641895,1,0,0.996011
0,29.2,0,6.78,26.1244043,18.8584082,0,0,1
0,29.13,3.09,8,150.2041113,97.92810547,0.10607621,0,0.998638
0,29.1,0.01,11.99,18.69507813,13.41895508,0.000343643,0,0.999643
0,29.09,29.05,38.1,136.8496289,101.1828711,0.998624957,0,0.99796
0,28.99,28.99,6.89,45.89283203,36.02771484,1,0,0.999176
0,28.98,7.71,38.58,72.28797852,51.70557617,0.266045549,0,0.9993
0,28.97,28.7,17.3,146.7152246,111.3875781,0.990680014,0,0.999253
0,28.88,0,13.01,31.03882813,22.86902344,0,0,0.997679
0,28.85,27.18,4,19.37549805,13.97375977,0.942114385,0,0.999477
0,28.83,10.49,26.95,77.59071289,57.46692383,0.363857093,0,0.999495
0,28.8,0,2.2,9.029550781,6.076298828,0,0,1.000541
0,28.78,28.75,24,277.3227637,207.8897754,0.998957609,0,0.996207
0,28.71,0,4.4,12.2478125,9.497685547,0,0,0.996854
0,28.71,0,4.4,12.2478125,9.497685547,0,0,0.996854
0,28.58,28.54,14.54,28.07032227,21.08875,0.99860042,0,0.997476
0,28.58,28.54,14.54,28.07032227,21.08875,0.99860042,0,0.997476
0,28.54,28.51,28.45,95.02113281,77.32398438,0.998948844,0,1
0,28.54,28.51,28.45,95.02113281,77.32398438,0.998948844,0,1
0,28.53,0,10.85,33.17847656,21.55847656,0,0,0.995262
0,28.53,0,10.85,33.17847656,21.55847656,0,0,0.995262
0,28.52,28.08,15.89,11.10083984,7.185429688,0.98457223,0,1
0,28.5,16.08,16.52,55.33741211,41.34070313,0.564210526,0,0.998422
0,28.5,0,20.48,47.83949219,29.33057617,0,0,1.000461
0,28.29,8.63,19.89,95.4080957,70.38708984,0.30505479,0,0.999174
0,28.29,8.63,19.89,95.4080957,70.38708984,0.30505479,0,0.999174
0,28.26,22.89,6.93,23.52807617,13.98583984,0.809978769,0,0.99917
0,28.24,0,10.93,39.28443359,28.45300781,0,0,0.999459
0,28.16,27.66,11.88,113.5983984,87.53259766,0.982244318,0,0.998687
0,28.01,0,14.87,41.20655273,29.07276367,0,0,0.996667
0,27.94,0,4.18,23.53882813,18.02368164,0,0,0.999405
0,27.94,16.79,27.52,111.2147363,83.29382813,0.600930565,0,1
0,27.91,0,22.78,30.0553125,24.32605469,0,0,1
0,27.79,7.87,8.46,88.87610352,70.48925781,0.283195394,0,1
0,27.79,0,14.94,29.27112305,20.01257813,0,0,0.998274
0,27.79,27.4,27.48,73.40064453,52.83630859,0.985966175,0,0.997663
0,27.79,0,14.94,29.27112305,20.01257813,0,0,0.998274
0,27.77,24.07,20.21,48.88831055,30.42737305,0.866762694,0.000612745,0.993102
0,27.75,13.69,7.68,39.26477539,29.06982422,0.493333333,0,0.995796
0,27.65,4.83,6.76,33.3309375,25.37963867,0.174683544,0,0.998633
0,27.64,0,17.28,94.59229492,67.1212207,0,0,0.998642
0,27.64,0,17.28,94.59229492,67.1212207,0,0,0.998642
0,27.61,1.9,7.99,41.98804688,31.20484375,0.068815647,0,0.99852
0,27.6,6.87,21.05,119.7747852,91.69458008,0.248913043,0.000114534,0.998968
0,27.58,27.58,17.99,11.69544922,7.157109375,1,0,0.993093
0,27.56,26.68,11.45,21.8584082,14.15442383,0.968069666,0,0.999491
0,27.56,27.56,4,12.6134082,8.300292969,1,0,0.998858
0,27.56,26.68,11.45,21.8584082,14.15442383,0.968069666,0,0.999491
0,27.48,14.68,13.14,33.31202148,21.89282227,0.534206696,0,0.99977
0,27.42,27.34,36.43,235.1732324,178.125127,0.997082422,0,0.998815
0,27.32,0,5.33,8.313730469,5.497685547,0,0,1
0,27.3,27.28,10.75,33.44288086,25.90209961,0.999267399,0,0.999779
0,27.3,27.28,10.75,33.44288086,25.90209961,0.999267399,0,0.999779
0,27.28,6.61,8.72,60.37963867,47.93115234,0.242302053,0,0.99896
0,27.25,14.47,6.77,36.09546875,29.17175781,0.531009174,0,0.999553
0,27.21,27.13,23.46,47.80958008,34.99158203,0.997059904,0,0.997511
0,27.2,5.65,7.46,26.78041016,19.24708008,0.207720588,0,0.998881
0,27.19,26.99,20.32,15.62416016,10.71192383,0.992644355,0,0.994805
0,27.17,2.36,12.54,80.63819336,62.96387695,0.086860508,0,0.999716
0,27.07,0,42.51,135.8935645,94.75292969,0,0,0.997457
0,27.07,0,42.51,135.8935645,94.75292969,0,0,0.997457
0,27.07,0,44.69,298.2282813,174.9550781,0,0,0.998717
0,27.07,0,42.51,135.8935645,94.75292969,0,0,0.997457
0,27.03,0,6.48,44.51795898,33.79260742,0,0,0.997643
0,26.92,23.01,38.72,117.6013281,91.52258789,0.854754829,0,0.9998
0,26.91,19.52,11.06,212.908584,150.8060352,0.725380899,0,1
0,26.88,26.7,20.6,91.95545898,69.77161133,0.993303571,0,0.999739
0,26.86,0,7.96,42.78199219,31.21900391,0,0,1
0,26.83,0.01,6.1,14.45655273,10.38123047,0.000372717,0,0.996492
0,26.83,0.01,6.1,14.45655273,10.38123047,0.000372717,0,0.996492
0,26.74,26.64,4,51.24329102,28.92016602,0.996260284,0,1
0,26.69,25.69,5.89,13.73926758,8.935917969,0.962532784,0,0.994993
0,26.65,19.57,17.99,162.4011426,107.8808691,0.734333959,0,0.999861
0,26.62,12.78,21.19,104.1959277,80.48376953,0.480090158,0,0.99967
0,26.55,0,8,58.7912793,41.40723633,0,0,0.990895
0,26.54,0.37,12.54,21.59327148,15.90064453,0.013941221,0,0.996614
0,26.54,0.37,12.54,21.59327148,15.90064453,0.013941221,0,0.996614
0,26.54,0.37,12.54,21.59327148,15.90064453,0.013941221,0,0.996614
0,26.51,7.63,2,19.40552734,14.11487305,0.287815919,0,0.999132
0,26.51,7.63,2,19.40552734,14.11487305,0.287815919,0,0.999132
0,26.43,0,15.61,27.10926758,18.68298828,0,0,0.999748
0,26.42,0.03,14,60.70545898,44.07740234,0.001135503,0.001387989,0.996706
0,26.42,26.31,7.85,68.02650391,47.3309375,0.995836488,0,1
0,26.42,0.03,14,60.70545898,44.07740234,0.001135503,0.001387989,0.996706
0,26.42,0.03,14,60.70545898,44.07740234,0.001135503,0.001387989,0.996706
0,26.42,0.03,14,60.70545898,44.07740234,0.001135503,0.001387989,0.996706
0,26.39,9.73,15.54,105.9992773,72.83337891,0.368700265,0,1.000476
0,26.39,9.73,15.54,105.9992773,72.83337891,0.368700265,0,1.000476
0,26.39,9.73,15.54,105.9992773,72.83337891,0.368700265,0,1.000476
0,26.39,9.73,15.54,105.9992773,72.83337891,0.368700265,0,1.000476
